symbol,non_compliant_income_pct,shariah_status,accounts_as_of,source
JDMT,0.11,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
JDWS,0.97,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
JKSM,0.14,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
JSML,0.17,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
JVDC,0.88,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KAPCO,17.79,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KCL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KEL,0.74,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOHC,3.69,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOHE,3.13,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOHP,15.78,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOHTM,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOIL,36.2,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KOSM,0.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KPUS,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KSBP,0.2,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
KTML,2.37,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LCI,0.24,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LEUL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LIVEN,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LOADS,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LOTCHEM,0.58,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LPGL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LPL,57.14,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
